CustomerID,Name,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
21007,Customer_21007,25,Female,Houston,15,41.36,283,0
37116,Customer_37116,60,Female,Miami,6,50.56,357,0
43654,Customer_43654,39,Male,New York,21,47.58,278,1
29984,Customer_29984,50,Male,Los Angeles,5,70.84,493,1
2952,Customer_2952,24,Female,Chicago,17,99.36,156,1
32285,Customer_32285,48,Female,Houston,18,66.97,134,1
13369,Customer_13369,48,Female,New York,20,30.36,91,1
31534,Customer_31534,69,Male,Los Angeles,21,71.34,332,1
3466,Customer_3466,34,Female,Houston,17,87.73,367,1
41883,Customer_41883,38,Male,New York,11,75.76,398,0
90408,Customer_90408,34,Male,Los Angeles,5,70.28,408,1
61765,Customer_61765,30,Male,Los Angeles,18,46.56,134,0
39270,Customer_39270,68,Female,Houston,9,42.84,252,1
24874,Customer_24874,44,Female,Chicago,5,91.05,488,1
30571,Customer_30571,46,Female,Miami,7,82.16,149,1
89829,Customer_89829,48,Female,Houston,2,77.09,52,1
83874,Customer_83874,61,Male,Chicago,15,82.09,325,0
36320,Customer_36320,19,Male,Los Angeles,12,83.3,423,1
5732,Customer_5732,27,Female,Houston,13,67.89,116,1
83041,Customer_83041,58,Female,Los Angeles,18,71.7,483,1
60818,Customer_60818,48,Male,Houston,7,91.37,487,1
15597,Customer_15597,53,Male,Los Angeles,11,89.5,356,0
39058,Customer_39058,60,Female,Chicago,15,54.7,290,0
78158,Customer_78158,37,Male,Houston,23,48.11,277,1
76933,Customer_76933,53,Male,Houston,10,83.4,475,1
21298,Customer_21298,32,Male,Houston,6,74.92,315,1
11035,Customer_11035,42,Female,Houston,9,65.96,351,0
51775,Customer_51775,40,Male,Chicago,7,90.72,57,0
32404,Customer_32404,49,Female,Houston,7,94.73,153,0
76304,Customer_76304,46,Female,New York,20,56.18,57,1
48998,Customer_48998,25,Female,Chicago,8,39.24,440,1
65752,Customer_65752,19,Male,Los Angeles,12,68.86,128,1
35144,Customer_35144,23,Male,New York,18,49.79,415,0
15266,Customer_15266,42,Male,Chicago,19,85.66,175,1
45989,Customer_45989,30,Female,Chicago,4,40.07,156,1
67976,Customer_67976,31,Male,Miami,10,73.88,405,1
19832,Customer_19832,55,Male,Chicago,13,39.39,75,1
60346,Customer_60346,45,Male,Miami,23,92.1,147,0
57679,Customer_57679,54,Male,Los Angeles,15,60.19,186,1
39100,Customer_39100,47,Male,Houston,11,65.74,143,0
96237,Customer_96237,19,Female,Miami,3,52.52,192,0
14383,Customer_14383,36,Male,Miami,16,85.72,393,1
51459,Customer_51459,38,Male,Los Angeles,4,31.02,452,0
55331,Customer_55331,63,Male,Miami,7,81.88,112,0
39327,Customer_39327,39,Male,Chicago,17,81.22,381,1
44314,Customer_44314,62,Male,Chicago,2,76.6,216,1
46682,Customer_46682,54,Female,New York,5,66.6,111,1
73900,Customer_73900,25,Female,Houston,14,77.27,290,0
23534,Customer_23534,25,Female,Miami,16,92.9,220,0
45644,Customer_45644,30,Male,New York,12,58.56,73,0
97645,Customer_97645,48,Male,Miami,11,82.31,92,0
53319,Customer_53319,43,Female,Miami,7,93.79,217,0
42623,Customer_42623,57,Female,Miami,23,75.77,186,0
84211,Customer_84211,57,Female,Miami,11,70.88,453,0
42993,Customer_42993,50,Female,Miami,14,97.38,204,1
65247,Customer_65247,42,Male,Los Angeles,4,98.23,480,1
78802,Customer_78802,70,Male,Houston,21,38.57,156,0
16465,Customer_16465,41,Male,New York,21,68.94,224,1
90556,Customer_90556,68,Female,Los Angeles,13,49.45,171,1
22319,Customer_22319,56,Female,Los Angeles,21,43.64,363,0
49804,Customer_49804,48,Female,Miami,8,53.64,279,0
53659,Customer_53659,36,Male,Chicago,9,51.06,67,1
65017,Customer_65017,61,Female,Houston,7,34.93,480,0
24499,Customer_24499,60,Female,Los Angeles,8,70.87,390,1
9375,Customer_9375,55,Male,Houston,18,31.34,117,0
48844,Customer_48844,19,Female,Miami,16,31.14,394,0
51030,Customer_51030,45,Male,Los Angeles,17,66.08,215,0
85007,Customer_85007,51,Male,Miami,2,51.21,50,0
47877,Customer_47877,18,Male,Houston,21,59.76,336,0
49016,Customer_49016,33,Female,Los Angeles,22,56.01,152,0
60679,Customer_60679,63,Female,Miami,9,56.93,289,1
7351,Customer_7351,60,Male,Houston,15,32.84,374,1
73705,Customer_73705,34,Female,New York,5,71.15,241,1
12456,Customer_12456,67,Female,Chicago,24,86.42,186,0
46904,Customer_46904,31,Female,Miami,13,68.53,315,0
19521,Customer_19521,21,Male,Houston,1,43.29,273,0
83102,Customer_83102,22,Female,Chicago,15,42.07,361,1
73268,Customer_73268,42,Male,New York,5,64.38,81,0
73700,Customer_73700,28,Male,Houston,19,87.95,172,0
24085,Customer_24085,43,Female,Miami,17,52.77,420,0
37643,Customer_37643,38,Male,Los Angeles,20,82.43,480,0
30007,Customer_30007,54,Male,Houston,7,31.42,460,0
32153,Customer_32153,26,Male,Chicago,18,40.09,169,1
9803,Customer_9803,24,Male,Los Angeles,13,90.71,270,1
62572,Customer_62572,51,Male,New York,12,33.86,428,1
3936,Customer_3936,30,Female,Chicago,15,55.94,61,0
3630,Customer_3630,33,Male,Los Angeles,2,58.56,349,1
549,Customer_549,51,Female,New York,14,38.52,214,0
48123,Customer_48123,23,Male,Miami,4,34.51,175,1
53450,Customer_53450,52,Female,Chicago,14,55.36,405,1
67479,Customer_67479,51,Male,Miami,14,87.33,351,1
4973,Customer_4973,23,Male,Chicago,20,48.45,212,0
8975,Customer_8975,42,Female,Miami,22,94.21,369,1
90774,Customer_90774,69,Male,Chicago,12,96.88,121,1
86666,Customer_86666,38,Female,Miami,16,91.22,317,0
19210,Customer_19210,44,Female,New York,2,88.63,183,1
30940,Customer_30940,51,Male,New York,22,41.14,323,1
22052,Customer_22052,49,Male,Miami,16,50.96,207,1
54329,Customer_54329,64,Male,Houston,9,99.89,191,1
19084,Customer_19084,27,Female,Los Angeles,10,72.03,406,1
19165,Customer_19165,20,Female,Chicago,20,99.56,323,0
92274,Customer_92274,49,Male,Chicago,21,97.22,53,1
21268,Customer_21268,56,Male,Los Angeles,20,37.92,311,0
34903,Customer_34903,20,Female,New York,23,61.74,195,1
85509,Customer_85509,66,Female,Chicago,2,68.38,314,1
73292,Customer_73292,49,Female,Houston,17,60.84,161,1
13700,Customer_13700,37,Female,Houston,9,71.75,459,0
27762,Customer_27762,46,Female,Los Angeles,1,60.7,346,1
59107,Customer_59107,46,Female,Chicago,11,67.76,282,1
77384,Customer_77384,32,Male,Miami,2,31.67,358,0
6933,Customer_6933,55,Male,Miami,21,77.23,50,0
89635,Customer_89635,46,Male,Los Angeles,12,87.53,410,0
82119,Customer_82119,42,Male,Houston,19,60.02,373,1
38975,Customer_38975,57,Male,Houston,17,96.19,428,1
17361,Customer_17361,32,Female,Houston,7,84.45,340,1
16820,Customer_16820,44,Female,Houston,17,99.47,307,0
12489,Customer_12489,59,Female,New York,12,97.86,455,0
41227,Customer_41227,65,Female,Miami,10,78.76,305,1
32356,Customer_32356,50,Female,New York,9,49.36,453,0
41505,Customer_41505,48,Male,Chicago,10,56.07,98,1
46619,Customer_46619,33,Male,Los Angeles,17,91.85,268,0
58108,Customer_58108,32,Female,New York,10,31.66,393,1
66169,Customer_66169,55,Female,Chicago,19,96.59,191,1
54818,Customer_54818,41,Female,New York,18,78.72,237,1
97921,Customer_97921,67,Male,Houston,20,74.94,206,0
97869,Customer_97869,47,Male,New York,8,31.55,167,0
98125,Customer_98125,60,Male,Miami,19,91.68,56,1
55520,Customer_55520,22,Female,Chicago,4,59.38,103,1
2911,Customer_2911,45,Female,Chicago,3,89.93,415,0
34520,Customer_34520,34,Male,Houston,18,64.7,314,0
94625,Customer_94625,54,Male,Miami,9,35.7,96,0
75301,Customer_75301,32,Female,Los Angeles,20,44.4,416,1
92230,Customer_92230,24,Male,Houston,2,42.16,123,1
40280,Customer_40280,41,Female,Houston,19,79.98,110,1
33209,Customer_33209,37,Female,Chicago,5,56.15,69,0
64380,Customer_64380,49,Male,New York,4,38.12,97,0
79542,Customer_79542,69,Male,Los Angeles,6,69.0,475,0
87297,Customer_87297,58,Male,Chicago,11,85.12,429,0
97699,Customer_97699,59,Female,Los Angeles,6,68.06,184,0
61547,Customer_61547,47,Male,Houston,17,80.29,432,1
68758,Customer_68758,59,Male,Chicago,7,80.7,212,1
71279,Customer_71279,69,Male,New York,19,55.85,230,1
14287,Customer_14287,35,Female,Los Angeles,22,72.54,424,1
52746,Customer_52746,51,Male,Houston,15,79.28,206,0
15156,Customer_15156,41,Female,Miami,12,61.14,101,0
24535,Customer_24535,30,Male,Houston,15,74.1,211,0
27646,Customer_27646,51,Female,Miami,9,57.05,249,0
7365,Customer_7365,47,Male,Miami,14,56.35,408,1
91072,Customer_91072,42,Female,Los Angeles,23,84.47,343,1
66322,Customer_66322,55,Female,Los Angeles,5,59.59,326,0
9441,Customer_9441,27,Male,Miami,10,81.45,357,1
28876,Customer_28876,37,Male,Chicago,23,83.16,295,0
29394,Customer_29394,18,Female,Chicago,12,75.14,278,1
69698,Customer_69698,57,Female,Chicago,3,90.96,177,0
86541,Customer_86541,62,Male,Miami,20,81.36,228,0
59490,Customer_59490,42,Female,Houston,17,68.27,418,0
78141,Customer_78141,28,Male,Houston,12,72.43,92,0
71476,Customer_71476,41,Female,Miami,20,62.87,296,0
28697,Customer_28697,49,Male,Los Angeles,23,45.21,329,1
3818,Customer_3818,43,Female,Chicago,16,85.05,421,0
40232,Customer_40232,52,Male,Chicago,17,31.44,499,1
59254,Customer_59254,54,Female,Miami,9,88.78,499,0
54462,Customer_54462,35,Male,New York,10,47.4,232,1
21803,Customer_21803,49,Female,Miami,4,69.35,159,1
22391,Customer_22391,32,Female,New York,17,69.41,393,0
50849,Customer_50849,68,Female,Houston,12,34.56,288,1
83957,Customer_83957,52,Female,Chicago,1,88.9,313,1
71736,Customer_71736,30,Female,Los Angeles,10,64.41,431,0
92891,Customer_92891,50,Male,Houston,16,31.18,405,0
14092,Customer_14092,66,Female,Houston,2,81.83,310,0
1875,Customer_1875,55,Female,Los Angeles,16,32.49,355,1
88558,Customer_88558,30,Male,Chicago,18,44.41,135,1
71925,Customer_71925,23,Male,Miami,24,67.32,160,0
24614,Customer_24614,24,Male,Chicago,1,39.71,195,1
29405,Customer_29405,62,Male,New York,9,74.33,73,1
92546,Customer_92546,20,Male,Miami,7,70.25,367,1
49129,Customer_49129,23,Female,Chicago,1,58.8,210,1
18266,Customer_18266,34,Male,Los Angeles,13,99.31,289,0
22172,Customer_22172,23,Male,Chicago,10,41.26,394,0
38867,Customer_38867,20,Female,Miami,11,45.38,325,0
22155,Customer_22155,63,Female,Chicago,4,70.32,77,0
21945,Customer_21945,53,Male,Los Angeles,20,50.76,106,0
18332,Customer_18332,69,Male,New York,6,54.68,94,0
67669,Customer_67669,34,Female,Miami,12,52.01,496,0
1874,Customer_1874,51,Female,Los Angeles,24,88.64,93,0
12507,Customer_12507,47,Female,New York,1,50.14,85,1
76941,Customer_76941,41,Male,New York,16,44.18,254,1
76580,Customer_76580,51,Male,New York,10,76.96,126,1
16252,Customer_16252,37,Female,Houston,23,77.87,107,0
99331,Customer_99331,51,Female,Chicago,2,70.99,213,0
78161,Customer_78161,59,Male,Chicago,5,33.07,201,0
74652,Customer_74652,36,Male,Houston,10,39.46,482,1
4504,Customer_4504,68,Female,New York,2,64.44,212,1
41128,Customer_41128,60,Female,New York,10,98.28,370,0
82728,Customer_82728,26,Female,Miami,10,92.41,102,1
81835,Customer_81835,24,Female,New York,12,74.64,92,1
2575,Customer_2575,67,Male,Houston,24,62.21,204,1
23867,Customer_23867,52,Male,Houston,15,78.79,197,0
19112,Customer_19112,37,Female,Chicago,2,87.28,498,0
78092,Customer_78092,26,Male,Miami,12,63.74,161,0
99432,Customer_99432,44,Male,Miami,12,64.32,336,1
13513,Customer_13513,65,Female,Chicago,22,47.02,108,0
84705,Customer_84705,18,Male,Los Angeles,5,80.91,261,0
26608,Customer_26608,30,Male,Chicago,4,93.96,283,0
17121,Customer_17121,18,Male,Los Angeles,2,30.44,248,0
64747,Customer_64747,36,Female,Los Angeles,21,49.62,135,1
54704,Customer_54704,54,Male,Los Angeles,22,72.03,496,0
15103,Customer_15103,63,Male,Miami,13,68.31,363,1
72852,Customer_72852,39,Female,Miami,4,41.49,442,0
27361,Customer_27361,57,Female,Houston,22,91.2,361,0
5591,Customer_5591,25,Male,Houston,1,40.31,316,1
78243,Customer_78243,70,Female,Los Angeles,23,43.52,439,1
47596,Customer_47596,24,Female,Houston,20,91.14,494,1
9109,Customer_9109,32,Female,Chicago,14,83.99,181,0
45430,Customer_45430,29,Female,Miami,13,32.89,149,0
55214,Customer_55214,70,Female,New York,3,44.9,88,1
38530,Customer_38530,39,Male,Houston,4,79.94,96,1
90501,Customer_90501,63,Male,Houston,22,90.96,210,0
71642,Customer_71642,18,Female,Miami,14,84.26,140,0
59924,Customer_59924,66,Female,Los Angeles,22,78.74,375,1
11731,Customer_11731,64,Female,Chicago,19,51.6,460,1
17185,Customer_17185,66,Male,Miami,24,63.16,64,1
90846,Customer_90846,45,Female,Miami,5,70.01,480,1
85125,Customer_85125,34,Female,Houston,13,62.31,224,0
18525,Customer_18525,62,Male,New York,1,67.07,487,0
29243,Customer_29243,51,Male,Los Angeles,8,92.46,458,0
38743,Customer_38743,24,Male,New York,22,91.83,324,0
86128,Customer_86128,54,Male,New York,13,35.87,316,0
55584,Customer_55584,29,Male,Los Angeles,9,88.15,210,0
50337,Customer_50337,22,Female,New York,14,45.3,63,0
8191,Customer_8191,49,Male,Los Angeles,19,51.51,443,0
50701,Customer_50701,47,Female,Los Angeles,10,97.56,268,0
34005,Customer_34005,61,Female,Los Angeles,12,61.38,483,0
4477,Customer_4477,54,Male,Houston,17,38.2,144,1
88247,Customer_88247,36,Male,Houston,5,51.24,482,0
65195,Customer_65195,43,Female,Houston,8,77.28,63,1
70410,Customer_70410,51,Male,New York,16,70.45,414,1
25663,Customer_25663,27,Male,Miami,11,32.93,397,1
42110,Customer_42110,47,Male,Chicago,19,61.33,167,0
95398,Customer_95398,29,Male,Miami,1,95.62,272,0
17654,Customer_17654,22,Male,New York,24,68.0,264,1
6970,Customer_6970,37,Male,Miami,8,94.25,214,0
69969,Customer_69969,65,Female,Chicago,22,76.61,343,0
35177,Customer_35177,64,Female,Houston,17,76.25,159,1
49438,Customer_49438,43,Male,Miami,19,40.25,421,1
6088,Customer_6088,31,Male,Miami,16,44.19,316,0
67612,Customer_67612,50,Female,Houston,19,58.11,324,1
77134,Customer_77134,47,Male,New York,15,99.42,421,1
85458,Customer_85458,59,Male,Los Angeles,1,83.92,86,0
14144,Customer_14144,48,Male,Los Angeles,7,74.38,201,1
86583,Customer_86583,61,Male,Miami,10,77.34,369,0
35491,Customer_35491,38,Male,Houston,11,47.11,122,1
9884,Customer_9884,60,Male,Chicago,15,84.73,272,1
96795,Customer_96795,53,Female,Los Angeles,5,84.37,310,0
47801,Customer_47801,26,Female,Chicago,21,91.54,392,1
41418,Customer_41418,48,Female,New York,19,42.47,466,0
72955,Customer_72955,33,Male,New York,10,93.38,436,0
93040,Customer_93040,43,Male,Chicago,15,85.81,156,0
98485,Customer_98485,20,Female,Chicago,12,97.31,378,1
4668,Customer_4668,33,Female,Chicago,3,38.36,197,1
39992,Customer_39992,49,Female,Chicago,14,34.61,217,0
10588,Customer_10588,20,Female,Los Angeles,10,80.48,495,0
25329,Customer_25329,62,Female,Chicago,22,88.41,258,1
22983,Customer_22983,19,Female,Chicago,22,37.28,411,1
76386,Customer_76386,64,Female,Chicago,7,62.77,492,0
77976,Customer_77976,62,Female,Chicago,10,33.62,245,1
61128,Customer_61128,43,Male,Los Angeles,15,94.53,378,1
45346,Customer_45346,39,Female,Chicago,6,52.48,361,0
66447,Customer_66447,23,Male,Houston,14,37.21,79,0
5652,Customer_5652,51,Male,New York,23,98.19,272,1
99342,Customer_99342,31,Female,New York,20,88.48,491,0
41261,Customer_41261,41,Male,Houston,15,91.03,75,1
85042,Customer_85042,40,Male,New York,14,49.43,161,0
51065,Customer_51065,26,Male,New York,12,71.64,70,0
98435,Customer_98435,50,Male,Chicago,22,30.99,217,0
37463,Customer_37463,67,Female,Miami,3,79.39,111,1
85564,Customer_85564,50,Male,Miami,15,40.27,441,0
11368,Customer_11368,41,Female,Houston,8,71.59,495,0
98497,Customer_98497,56,Female,Chicago,14,34.41,144,1
66939,Customer_66939,42,Female,New York,8,87.88,161,0
18090,Customer_18090,70,Male,Miami,23,77.37,102,0
76303,Customer_76303,68,Female,Chicago,17,31.01,383,0
33561,Customer_33561,25,Female,Houston,7,66.4,434,1
90035,Customer_90035,24,Male,Los Angeles,15,58.72,87,0
83775,Customer_83775,19,Female,Miami,7,72.22,468,0
38929,Customer_38929,58,Female,Chicago,3,82.35,226,0
26840,Customer_26840,40,Male,Houston,17,53.99,329,0
33828,Customer_33828,45,Male,Miami,24,44.48,467,0
84099,Customer_84099,33,Male,New York,12,72.9,326,1
70950,Customer_70950,42,Male,Los Angeles,9,89.95,455,1
19624,Customer_19624,64,Female,Los Angeles,17,93.89,223,1
45262,Customer_45262,25,Female,Los Angeles,10,81.14,237,0
17302,Customer_17302,44,Female,Los Angeles,9,73.11,402,1
8400,Customer_8400,50,Male,Chicago,13,86.96,497,1
39866,Customer_39866,26,Female,Houston,5,34.25,359,1
92945,Customer_92945,42,Female,Miami,10,93.33,97,0
78759,Customer_78759,21,Male,Miami,8,60.04,320,1
22001,Customer_22001,51,Female,Chicago,12,97.88,412,0
31260,Customer_31260,33,Female,Houston,3,70.61,51,0
73602,Customer_73602,65,Female,Chicago,18,39.46,422,1
98412,Customer_98412,33,Male,Houston,11,94.98,404,1
15163,Customer_15163,36,Female,New York,14,97.83,404,0
92797,Customer_92797,54,Female,Miami,9,85.11,164,0
20605,Customer_20605,45,Male,Houston,18,64.28,292,0
54853,Customer_54853,29,Female,Los Angeles,11,76.71,321,0
62061,Customer_62061,52,Female,Houston,9,71.41,410,0
92947,Customer_92947,31,Female,Chicago,15,77.51,122,0
3409,Customer_3409,49,Male,Chicago,5,64.62,371,1
29841,Customer_29841,38,Male,Chicago,19,86.57,410,1
17064,Customer_17064,64,Female,Chicago,7,62.63,331,1
86723,Customer_86723,32,Female,Chicago,10,84.3,64,0
3810,Customer_3810,53,Female,Chicago,10,79.26,417,0
69202,Customer_69202,61,Male,Miami,12,85.23,56,0
58607,Customer_58607,61,Male,Chicago,7,92.39,468,1
97772,Customer_97772,44,Male,Los Angeles,17,64.55,470,0
39727,Customer_39727,32,Male,Houston,7,63.48,329,0
45812,Customer_45812,63,Female,Los Angeles,22,72.67,318,1
72162,Customer_72162,19,Female,Chicago,14,95.47,80,0
70515,Customer_70515,62,Male,Los Angeles,15,92.85,445,1
10468,Customer_10468,48,Female,Houston,7,89.07,139,1
10787,Customer_10787,21,Female,Houston,21,61.52,327,1
75806,Customer_75806,51,Male,Chicago,12,62.11,277,0
33645,Customer_33645,59,Female,New York,20,46.58,262,0
21807,Customer_21807,58,Male,Chicago,19,42.87,277,0
1397,Customer_1397,52,Male,New York,9,96.02,163,0
21482,Customer_21482,41,Male,Houston,19,59.77,279,0
32916,Customer_32916,66,Female,Miami,2,80.02,56,1
92074,Customer_92074,56,Female,Houston,9,73.56,154,0
94322,Customer_94322,55,Female,Los Angeles,15,62.09,173,0
72501,Customer_72501,60,Male,Miami,4,72.81,174,1
75929,Customer_75929,57,Male,Miami,11,71.05,291,0
12141,Customer_12141,68,Female,Chicago,11,50.79,109,1
19833,Customer_19833,62,Female,New York,11,79.44,313,0
48701,Customer_48701,66,Male,New York,17,36.43,494,1
68304,Customer_68304,19,Female,Houston,1,95.16,425,0
54617,Customer_54617,69,Female,Houston,20,45.07,327,0
56082,Customer_56082,68,Female,Miami,13,97.38,282,1
45969,Customer_45969,61,Female,Miami,19,43.28,452,1
75029,Customer_75029,56,Male,Miami,15,89.71,221,0
32890,Customer_32890,41,Female,New York,24,50.97,333,1
56588,Customer_56588,37,Female,Los Angeles,10,43.9,254,0
98567,Customer_98567,20,Male,Houston,8,51.14,461,0
97250,Customer_97250,51,Male,New York,2,43.88,154,0
7228,Customer_7228,60,Male,New York,16,30.74,440,1
7196,Customer_7196,31,Male,New York,4,80.44,256,1
51525,Customer_51525,66,Male,New York,14,62.57,272,0
1947,Customer_1947,52,Female,Houston,1,43.27,231,0
45043,Customer_45043,28,Female,New York,9,62.04,226,1
66614,Customer_66614,19,Female,Los Angeles,12,31.12,293,1
53847,Customer_53847,59,Female,Houston,7,71.65,469,0
58184,Customer_58184,26,Male,Los Angeles,13,83.88,451,0
95105,Customer_95105,23,Male,Los Angeles,22,36.78,195,0
72552,Customer_72552,58,Male,Chicago,2,75.92,67,1
17552,Customer_17552,44,Male,New York,12,91.87,228,0
5815,Customer_5815,33,Male,Houston,4,53.07,194,0
23746,Customer_23746,18,Male,Chicago,2,66.25,371,0
9579,Customer_9579,44,Male,Los Angeles,8,50.05,279,0
15604,Customer_15604,65,Male,Miami,2,73.49,419,0
23298,Customer_23298,68,Male,Houston,5,86.85,369,1
25086,Customer_25086,55,Female,Los Angeles,6,46.97,398,0
88948,Customer_88948,34,Female,Los Angeles,5,74.65,64,0
87675,Customer_87675,26,Female,New York,8,60.3,252,1
34540,Customer_34540,65,Male,Houston,18,91.4,322,0
69027,Customer_69027,68,Male,Chicago,8,99.97,152,0
21197,Customer_21197,35,Male,Los Angeles,1,74.73,331,0
67133,Customer_67133,35,Female,Chicago,4,78.63,428,0
33013,Customer_33013,26,Male,Houston,20,42.75,387,1
87468,Customer_87468,24,Female,New York,2,76.01,145,0
45179,Customer_45179,54,Female,Houston,15,83.24,382,0
22212,Customer_22212,33,Female,Houston,7,98.04,289,0
61635,Customer_61635,69,Female,Chicago,2,89.82,227,0
610,Customer_610,39,Female,Chicago,10,77.3,126,0
12459,Customer_12459,29,Female,Miami,12,70.99,84,0
31008,Customer_31008,60,Male,Miami,24,95.56,118,1
51369,Customer_51369,59,Female,Houston,8,96.44,494,0
48524,Customer_48524,55,Male,Los Angeles,23,72.64,471,0
68662,Customer_68662,56,Male,New York,17,79.61,166,0
88940,Customer_88940,41,Female,Miami,11,56.92,364,0
52589,Customer_52589,21,Male,Miami,16,70.07,415,0
36129,Customer_36129,29,Female,New York,4,67.35,108,0
20627,Customer_20627,49,Male,Miami,22,45.51,54,0
59586,Customer_59586,18,Male,Chicago,1,69.43,124,1
54002,Customer_54002,19,Male,Miami,3,32.09,488,0
79729,Customer_79729,24,Male,Los Angeles,20,86.24,58,0
15263,Customer_15263,38,Male,Houston,9,87.43,199,1
66670,Customer_66670,70,Female,Chicago,8,52.85,207,1
57902,Customer_57902,57,Female,New York,19,90.76,189,1
39568,Customer_39568,29,Male,Los Angeles,1,62.54,143,1
36040,Customer_36040,20,Male,Chicago,4,68.71,419,0
1992,Customer_1992,45,Male,Houston,14,60.17,218,1
25954,Customer_25954,57,Female,Miami,10,85.1,495,1
55367,Customer_55367,34,Female,Los Angeles,12,80.36,416,0
86722,Customer_86722,23,Female,Miami,17,80.41,56,1
54008,Customer_54008,51,Male,Houston,9,35.97,498,0
49871,Customer_49871,26,Male,Houston,19,79.32,317,0
66028,Customer_66028,39,Female,New York,6,59.81,340,0
24314,Customer_24314,46,Female,Miami,23,32.61,495,1
81214,Customer_81214,50,Female,New York,12,62.77,167,1
72848,Customer_72848,47,Female,Miami,3,73.59,432,0
63592,Customer_63592,58,Female,New York,8,41.3,143,0
24746,Customer_24746,29,Female,New York,13,82.11,430,0
35822,Customer_35822,23,Male,New York,9,92.75,435,0
54306,Customer_54306,41,Male,Houston,10,73.73,133,1
69548,Customer_69548,70,Female,Houston,3,66.01,285,0
74694,Customer_74694,50,Male,New York,13,73.39,150,0
60293,Customer_60293,18,Female,Chicago,9,91.18,321,1
774,Customer_774,44,Male,Houston,9,96.98,440,0
37940,Customer_37940,37,Female,Los Angeles,1,84.6,375,0
40063,Customer_40063,58,Female,New York,16,30.66,200,0
97206,Customer_97206,44,Female,Chicago,8,92.71,81,1
39468,Customer_39468,56,Male,Houston,5,31.53,424,0
81489,Customer_81489,57,Male,Miami,21,78.02,134,0
66096,Customer_66096,57,Male,Chicago,3,45.33,152,1
16983,Customer_16983,25,Female,Chicago,3,77.61,418,1
28292,Customer_28292,43,Male,Houston,22,95.49,156,0
55947,Customer_55947,30,Male,Miami,11,49.34,84,1
59286,Customer_59286,20,Male,Chicago,14,33.36,455,1
56905,Customer_56905,22,Male,Miami,2,53.89,413,1
54415,Customer_54415,53,Female,Houston,10,50.81,74,1
1019,Customer_1019,51,Male,New York,14,59.32,261,0
892,Customer_892,20,Male,Los Angeles,13,67.28,321,1
50979,Customer_50979,67,Male,Miami,13,60.03,244,1
4019,Customer_4019,66,Female,Miami,6,68.64,289,1
67502,Customer_67502,46,Male,Houston,2,99.91,446,0
35072,Customer_35072,34,Male,Chicago,9,65.8,75,0
18344,Customer_18344,22,Male,Miami,5,65.53,305,1
84809,Customer_84809,59,Female,Miami,19,92.45,442,0
37862,Customer_37862,33,Female,Los Angeles,13,58.21,329,1
60408,Customer_60408,51,Female,Houston,9,59.33,382,1
43564,Customer_43564,34,Female,New York,16,62.89,451,0
20005,Customer_20005,33,Female,Miami,23,50.67,215,0
88410,Customer_88410,66,Female,Miami,19,95.3,308,0
17985,Customer_17985,41,Female,New York,4,72.31,206,0
69694,Customer_69694,48,Female,Los Angeles,3,74.27,278,0
9320,Customer_9320,20,Female,Miami,18,65.5,352,0
64944,Customer_64944,68,Female,Houston,21,67.8,124,0
25374,Customer_25374,66,Male,Los Angeles,14,38.08,84,1
